SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
ARIHANTSUP,EQ,187.05,187.6,183.5,184.25,184.15,185.85,751763,139079274.25,2017-06-28,4443,INE643K01018
ARMANFIN,EQ,195.95,195.95,188.0,188.95,188.2,191.25,6899,1302422.35,2017-06-28,111,INE109C01017
AROGRANITE,EQ,73.0,73.5,71.65,73.0,73.25,73.05,17914,1303970.65,2017-06-28,299,INE210C01013
ARROWGREEN,EQ,571.35,574.8,551.0,555.25,554.0,542.55,153582,86097437.75,2017-06-28,5196,INE570D01018
ARROWTEX,EQ,45.3,45.5,44.6,44.9,44.6,45.0,6949,312011.25,2017-06-28,72,INE933J01015
ARSHIYA,EQ,67.15,70.4,67.0,67.7,68.5,68.05,76523,5255619.4,2017-06-28,727,INE968D01022
ARSSINFRA,EQ,64.7,65.95,64.0,64.8,64.5,64.8,90408,5866561.3,2017-06-28,1641,INE267I01010
ARVIND,EQ,359.5,364.6,353.25,356.1,356.05,360.2,1112671,398824685.3,2017-06-28,15554,INE034A01011
ARVSMART,EQ,135.95,136.95,133.0,133.95,134.0,135.45,44067,5960436.0,2017-06-28,500,INE034S01021
ASAHIINDIA,EQ,243.0,245.4,240.1,243.7,242.3,243.1,18757,4544180.0,2017-06-28,421,INE439A01020
ASAHISONG,EQ,279.5,285.4,279.5,280.75,280.25,281.55,7846,2208622.3,2017-06-28,213,INE228I01012
ASAL,EQ,70.0,70.5,67.0,67.7,68.0,70.5,11637,803797.9,2017-06-28,72,INE900C01027
ASHAPURMIN,EQ,57.25,57.3,56.05,56.25,56.2,57.65,43758,2477785.7,2017-06-28,488,INE348A01023
ASHIANA,EQ,196.0,197.0,188.4,190.05,189.65,195.55,53087,10151982.95,2017-06-28,1120,INE365D01021
ASHIMASYN,EQ,18.95,19.35,18.6,18.75,18.7,19.05,124406,2350683.85,2017-06-28,380,INE440A01010
ASHOKA,EQ,182.75,187.35,178.75,183.65,182.45,182.75,122700,22461348.55,2017-06-28,1882,INE442H01029
ASHOKLEY,EQ,90.9,92.75,90.0,92.2,92.55,91.1,4941835,453450561.2,2017-06-28,24606,INE208A01029
ASIANHOTNR,EQ,134.95,136.0,130.1,130.25,130.25,129.0,2393,316197.0,2017-06-28,35,INE363A01022
ASIANPAINT,EQ,1125.0,1128.85,1099.0,1109.15,1110.0,1134.15,930404,1031024935.0,2017-06-28,38589,INE021A01026
ASIANTILES,EQ,417.5,429.0,417.5,423.55,423.0,418.45,303671,128825301.2,2017-06-28,2248,INE022I01019
ASIL,EQ,0.8,0.8,0.7,0.8,0.8,0.75,1525,1170.0,2017-06-28,6,INE988A01026
ASPINWALL,BE,207.0,209.0,204.15,207.95,207.95,207.0,1746,359869.55,2017-06-28,26,INE991I01015
ASSAMCO,EQ,6.4,6.45,6.25,6.35,6.4,6.35,313962,2001235.25,2017-06-28,227,INE442A01024
ASTEC,EQ,559.7,559.7,552.5,556.4,556.0,560.85,7508,4176571.2,2017-06-28,263,INE563J01010
ASTRAL,EQ,673.0,695.7,673.0,688.65,691.9,680.2,26788,18402388.0,2017-06-28,1754,INE006I01046
ASTRAMICRO,EQ,132.8,134.8,131.5,133.8,134.0,132.1,123350,16473791.45,2017-06-28,1711,INE386C01029
ASTRAZEN,EQ,908.65,920.0,908.0,910.5,908.05,909.6,2993,2737089.7,2017-06-28,375,INE203A01020
ATFL,EQ,489.55,496.9,489.55,495.1,494.0,492.75,3413,1682593.45,2017-06-28,147,INE209A01019
ATLANTA,EQ,101.0,103.65,98.35,102.45,102.25,100.95,254486,25604296.75,2017-06-28,3464,INE285H01022
ATLASCYCLE,BE,377.1,389.7,366.05,370.8,375.0,380.9,8133,3042940.7,2017-06-28,289,INE446A01017
ATUL,EQ,2392.0,2417.2,2355.0,2375.5,2362.0,2408.7,4775,11414257.05,2017-06-28,618,INE100A01010
ATULAUTO,EQ,402.05,404.95,389.3,395.0,394.2,406.05,61661,24502265.85,2017-06-28,2075,INE951D01028
AURIONPRO,EQ,121.55,123.3,117.05,119.55,120.0,122.7,35805,4294766.55,2017-06-28,545,INE132H01018
AUROPHARMA,EQ,669.6,676.5,658.2,671.55,671.95,669.95,2393173,1591319504.4,2017-06-28,38085,INE406A01037
AUSOMENT,EQ,23.35,24.75,23.25,23.5,23.35,24.9,3168,75146.9,2017-06-28,31,INE218C01016
AUSTRAL,BE,0.15,0.2,0.15,0.2,0.2,0.15,22584,4401.95,2017-06-28,8,INE455J01027
AUTOAXLES,EQ,735.3,744.0,731.4,739.8,742.0,736.4,10747,7942900.45,2017-06-28,733,INE449A01011
AUTOIND,EQ,52.55,53.9,50.7,52.85,53.35,52.6,10683,564462.15,2017-06-28,163,INE718H01014
AUTOLITIND,EQ,61.0,62.5,60.5,61.85,62.0,61.8,21226,1309774.25,2017-06-28,142,INE448A01013
AVANTIFEED,EQ,1374.7,1415.0,1360.1,1382.8,1381.45,1376.6,37722,52493758.3,2017-06-28,4366,INE871C01020
AVTNPL,EQ,40.6,40.75,39.0,39.85,39.5,40.6,96677,3878745.95,2017-06-28,657,INE488D01021
AXISBANK,EQ,493.8,500.35,490.05,492.0,496.45,492.85,12691859,6260656806.25,2017-06-28,76061,INE238A01034
AXISCADES,EQ,142.55,143.15,139.0,142.2,142.5,141.65,43337,6128138.05,2017-06-28,1472,INE555B01013
AXISGOLD,EQ,2525.05,2549.0,2516.05,2530.0,2530.0,2535.55,103,260447.8,2017-06-28,24,INF846K01347
AYMSYNTEX,EQ,75.9,76.4,75.0,75.3,75.2,75.6,13422,1011580.35,2017-06-28,78,INE193B01039
BAFNAPHARM,EQ,23.0,23.25,22.55,23.05,22.9,23.15,16387,376434.65,2017-06-28,100,INE878I01014
BAGFILMS,EQ,4.4,4.45,4.2,4.25,4.25,4.3,179509,779826.85,2017-06-28,136,INE116D01028
BAJAJ-AUTO,EQ,2789.0,2801.0,2770.2,2777.05,2784.5,2779.3,284660,790886912.2,2017-06-28,11631,INE917I01010
BAJAJCORP,EQ,377.8,377.95,374.15,375.4,375.95,378.05,15437,5805764.4,2017-06-28,2107,INE933K01021
BAJAJELEC,EQ,325.95,333.0,324.0,325.05,324.2,324.6,115888,38140019.0,2017-06-28,2826,INE193E01025
BAJAJFINSV,EQ,4025.0,4155.0,3950.0,4108.15,4152.0,4036.05,111692,453385413.25,2017-06-28,9628,INE918I01018
BAJAJHIND,EQ,14.4,14.8,14.25,14.35,14.4,14.35,1859366,26864357.2,2017-06-28,2916,INE306A01021
BAJAJHLDNG,EQ,2111.05,2111.05,2094.8,2100.55,2100.0,2104.9,7517,15791180.85,2017-06-28,2103,INE118A01012
BAJFINANCE,EQ,1341.0,1377.0,1313.9,1372.35,1371.0,1349.95,998218,1351490429.3,2017-06-28,30259,INE296A01024
BALAJITELE,EQ,133.05,135.45,130.0,133.0,133.0,132.8,348436,46397004.6,2017-06-28,3798,INE794B01026
BALAMINES,EQ,332.1,338.35,325.0,328.8,327.0,332.5,10296,3387662.05,2017-06-28,382,INE050E01027
